"band","bigram"
"AC/DC","swizzle stick"
"AC/DC","plastic bag"
"AC/DC","dead drunk"
"AC/DC","heave'n hanging"
"AC/DC","hanging upside"
"AC/DC","gonna drown"
"AC/DC","home runnin"
"AC/DC","runnin round"
"AC/DC","wrong crowd"
"AC/DC","crowd goin"
"AC/DC","stand playin"
"AC/DC","loud bad"
"AC/DC","bad cards"
"AC/DC","bad hand"
"AC/DC","hand wanna"
"AC/DC","wanna dance"
"AC/DC","dance wanna"
"AC/DC","wanna sing"
"AC/DC","sing whip"
"AC/DC","gonna kick"
"AC/DC","roll call"
"AC/DC","call goin"
"AC/DC","bang gettin"
"AC/DC","gettin caught"
"AC/DC","woman workin"
"AC/DC","hot givin"
"AC/DC","gonna stop"
"AC/DC","stop ooh"
"AC/DC","ooh tonight"
"AC/DC","gonna kick"
"AC/DC","yeah yeah"
"AC/DC","yeah yeah"
"AC/DC","started rockin"
"AC/DC","mission stick"
"AC/DC","yeah rockin"
"AC/DC","ah x17"
"AC/DC","x17 yeeeeeeeeeeeah"
"AC/DC","yeeeeeeeeeeeah yeah"
"AC/DC","ma call"
"AC/DC","lies ice"
"AC/DC","leeroy kincaid"
"AC/DC","cold hearted"
"AC/DC","time lover"
"AC/DC","lover heart"
"AC/DC","hand cold"
"AC/DC","cold hearted"
"AC/DC","understand cold"
"AC/DC","cold hearted"
"AC/DC","cold hearted"
"AC/DC","pride deep"
"AC/DC","deep inside"
"AC/DC","mother's son"
"AC/DC","son reputation"
"AC/DC","reputation broken"
"AC/DC","broken glass"
"AC/DC","meet leeroy"
"AC/DC","leeroy kincaid"
"AC/DC","naked eye"
"AC/DC","time lover"
"AC/DC","time loser"
"AC/DC","cold hearted"
"AC/DC","car hell"
"AC/DC","filly wrapped"
"AC/DC","double decker"
"AC/DC","decker bed"
"AC/DC","bar downin"
"AC/DC","gonna blow"
"AC/DC","filly wrapped"
"AC/DC","double decker"
"AC/DC","decker bed"
"AC/DC","mine gonna"
"AC/DC","move baby"
"AC/DC","baby feel"
"AC/DC","baby feel"
"AC/DC","wanna cover"
"AC/DC","wanna cover"
"AC/DC","oil cover"
"AC/DC","oil yeah"
"AC/DC","yeah pull"
"AC/DC","lip service"
"AC/DC","dime abuse"
"AC/DC","life gonna"
"AC/DC","kinda rough"
"AC/DC","stuff baby"
"AC/DC","baby feel"
"AC/DC","move baby"
"AC/DC","baby feel"
"AC/DC","wanna cover"
"AC/DC","oil cover"
"AC/DC","wanna cover"
"AC/DC","oil cover"
"AC/DC","ooooh yeah"
"AC/DC","yeah yeeeeeeeah"
"AC/DC","yeeeeeeeah baby"
