"popsong_lyrics","singer","element_id"
"Dear? dear diary? I want to tell my secrets
Cuz you're the only one that I know who'll keep
them
Dear? dear diary? I want to tell my secrets
I've been a bad? bad girl","Pink",90
"I've been a bad? bad girl","Pink",91
"Dear Mr. President
Come take a walk with me
Let's pretend we're just two people and
You're not better than me
I'd like to ask you some questions if we can speak honestly","Pink",92
"What do you feel when you see all the homeless on the street
Who do you pray for at night before you go to sleep
What do you feel when you look in the mirror
Are you proud","Pink",93
"How do you sleep while the rest of us cry
How do you dream when a mother has no chance to say goodbye
How do you walk with your head held high
Can you even look me in the eye
And tell me why","Pink",94
"Dear Mr. President
Were you a lonely boy
Are you a lonely boy
Are you a lonely boy
How can you say
No child is left behind
We're not dumb and we're not blind
They're all sitting in your cells
While you pay the road to hell","Pink",95
"What kind of father would take his own daughter's rights away
And what kind of father might hate his own daughter if she were gay
I can only imagine what the first lady has to say
You've come a long way from whiskey and cocaine","Pink",96
"How do you sleep while the rest of us cry
How do you dream when a mother has no chance to say goodbye
How do you walk with your head held high
Can you even look me in the eye","Pink",97
"Let me tell you bout hard work
Minimum wage with a baby on the way
Let me tell you bout hard work
Rebuilding your house after the bombs took them away
Let me tell you bout hard work
Building a bed out of a cardboard box
Let me tell you bout hard work
Hard work
Hard work
You don't know nothing bout hard work
Hard work
Hard work
Oh","Pink",98
"How do you sleep at night
How do you walk with your head held high
Dear Mr. President
You'd never take a walk with me
Would you","Pink",99
"So she thinks she's got a new boyfriend
But the two of them have never met
She's already got his name tattooed
In a heart across her chest
With his pictures plastered on her wall
But he has never called
And even all her friends they say:
'You're living in delirium'","Pink",100
"Da da da, Da da da, Da da da, Da da da, Da da da
Babe, you live in deliri
Da da da, Da da da, Da da da, Da da da, Da da","Pink",101
"Secretly she's stalking him on the streets
Making sure she's one step behind
They even went to the movies together
Or at least they stood in the same line
She tells everyone he sends her flowers
And love letters he sends her too
And they talk on the phone for hours
It's obvious she's come on blue","Pink",102
"Da da da, Da da da, Da da da, Da da da, Da da da
Babe, you live in deliri
Da da da, Da da da, Da da da, Da da da, Da da da
Babe, you're livin' in delirium
Da da da, Da da da, Da da da, Da da da, Da da da","Pink",103
"Every night you find her all alone
Fantasising about the brand new home
And she's waiting for the bells the ring a ding-a-ling
Oh, God, she's lost her mind
And her friends tell her all the time
That it's make-believe
This guy she sees it's her disease
She's living in delirium","Pink",104
"She's so happy that she found someone
But she's still living in delirium
She's so happy that she found someone
But she's still living in delirium","Pink",105
"Da da da, Da da da, Da da da, Da da da, Da da da
Babe, you're livin' in delirium
Da da da, Da da da, Da da da, Da da da, Da da da
Babe, you're livin' in delirium
(She's so happy that she found someone
But she's still living in delirium)
Da da da, Da da da, Da da da, Da da da, Da da da
Babe, you're livin' in delirium
Da da da, Da da da, Da da da, Da da da, Da da da
Babe, you're livin' in delirium
(She's so happy that she found someone
But she's still living in delirium)
Da da da, Da da da, Da da da, Da da da, Da da da
Babe, you're livin' in delirium
Da da da, Da da da, Da da da, Da da da, Da da da
Babe, you're livin' in delirium
Da da da, Da da da, Da da da, Da da da, Da da da
Babe, you're livin' in delirium","Pink",106
"(You have two messages)
(First message)","Pink",107
"Turn up the thermostat
It's only 50 damn degrees
Everybody is so warm and I'm so cold
Saying can you believe that?
She's got 17 tattoos
And she sings about the blues and she's suburban","Pink",108
"Everybody is so obsessed *W.I.T.H. everybody else
I didn't know that so and so broke up
I was busy paying bills
I don't always think I'm right, but I know I'm wrong","Pink",109
"I'm trying so hard to get through
I'm trying so hard to hear you
There's so much static in the line,
That I can barely hear the truth
Is it any wonder I'm the fool?
Is it a surprise to be uncool?
It's no wonder, I'm so disconnected","Pink",110
"(Second message)","Pink",111
"So tell me why you gotta laugh?
I guess I must have missed the joke
The over-caffeinated bull**** has good me tired
I guess you know just where it's at
You gotta have the *L.A.S.T. things
To keep your friends impressed another minute longer","Pink",112
"I can only imagine how uncomfortable it is inside that skin
Having to stretch and mold to society
And trouble fitting it
Do you always think you're right but you know you're wrong?","Pink",113
"I'm trying so hard to get through
I'm trying so hard to hear you
There's so much static in the line,
That I can barely hear the truth
Is it any wonder I'm the fool?
Is it a surprise to be uncool?
It's no wonder, I'm so disconnected","Pink",114
"(The person you are trying to reach, Alecia Moore,
has been temporarily disconnected)
(Please hang up and try again later)
(Unblock yourself if you wish to be connected)","Pink",115
"I'm trying so hard to get through
I'm trying so hard to hear you
There's so much static in the line,
That I can barely hear the truth
Is it any wonder I'm the fool?
Is it a surprise to be uncool?
It's no wonder, It's no wonder,
It's no wonder","Pink",116
"I'm trying so hard to get through
I'm trying so hard to hear you
There's so much static in the line,
That I can barely hear the truth
Is it any wonder I'm the fool?
Is it a surprise to be uncool?
It's no wonder, I'm so disconnected
(It's no wonder, It's no wonder)","Pink",117
"(It's no wonder, It's no wonder)","Pink",118
"Some people like the summer when it's hot
Some people like the winter cold
Some people speak they minds when they wannq
And some other people ain't so bold
Whatever it is that you do you should do
You should do it wit ya head held high
So when you're doin your thing it's cuz you wanna
And they never can ask you why","Pink",119
"[Chorus:]
I say do what you do
Say what you say
Mean what you mean when you say
Cuz it's your life, gotta make your own rules
And you gotta do it your way
I say do what you do
Say what you say
Mean what you mean when you say
Cuz it's your life, gotta make your own rules
And you gotta do it your way","Pink",120
"Some, they like it easy
When others, they like it rough
But ain't nobody gotta like it but you
Girl, boy, boy, girl, girl, girl, boy, boy
Whatever, you should do what you do
How could they tell you that you coulda-shoulda-woulda
When ask them can they walk in your shoes
Cuz it's your life and you do what you wanna
And remember baby, it's all about you","Pink",121
"[Repeat Chorus]","Pink",122
"So if it's on your mind, then you should speak your piece
And say what you say
And if you want it done, then you should get it done
And do it your way
So if it's on your mind, then you should speak your piece
And say what you say
And if you want it done, then you should get it done
And do it your way","Pink",123
"[Repeat Chorus]","Pink",124
"[Repeat Chorus Again [after the long break]]","Pink",125
"Never win first place? I don't support the team
I can't take direction? and my socks are never
clean
Teachers dated me? my parents hated me
I was always in a fight cuz I can't do nothin?
right
Everyday I fight a war against the mirror
I can't take the person starin? back at me
I'm a hazard to myself","Pink",126
"Don't let me get me
I'm my own worst enemy
Its bad when you annoy yourself
So irritating
Don't wanna be my friend no more
I wanna be somebody else","Pink",127
"I wanna be somebody else? yeah","Pink",128
"""A told me? ""You'll be a pop star?
All you have to change is everything you are.""
Tired of being compared to damn Britney Spears
She's so pretty? that just ain't me","Pink",129
"Doctor? doctor won't you please prescribe
somethin
A day in the life of someone else
Cuz I'm a hazard to myself","Pink",130
"Don't let me get me
I'm my own worst enemy
Its bad when you annoy yourself
So irritating
Don't wanna be my friend no more
I wanna be somebody else","Pink",131
"Don't let me get me
I'm my own worst enemy
Its bad when you annoy yourself
So irritating
Don't wanna be my friend no more
I wanna be somebody else","Pink",132
"Doctor? doctor won't you please prescribe
somethin
A day in the life of someone else
Don't let me get me","Pink",133
"Don't let me get me
I'm my own worst enemy
Its bad when you annoy yourself
So irritating
Don't wanna be my friend no more
I wanna be somebody else","Pink",134
"I am an opportunity and I knock so softly
Sometimes I get loud when I wish everybody'd just
get off me
So many playas you'd think I was a ball game
Its every man for themself? there are no
team mates
This life gets lonely when everybody wants
something
This might have been your fate
But they'll get their's eventually
And I hope I'm there","Pink",135
"Surrounded by familiar faces without names
None of them know me or want to share my pain
And they only wish to bask in my light? then fade
away
To win my love? to them a game
To watch me live my life in pain
When all is done and the glitter fades? fades
away
They'll get their's eventually
And I hope I'm there","Pink",136
"I drank your poison cuz you told me its wine
Shame on you if you fool once
Shame on me if you fool me twice
I didn't know the price
You'll get yours eventually","Pink",137
"So what good am I to you if I can't be broken
You'll get yours? yes you'll get yours
Eventually","Pink",138
"Mama please stop cryin'
I can't stand the sound
Your pain is painful
and it's tearin' me down","Pink",139
"I hear glasses breaking
As I sit up in my bed
I told god you didn't mean
Those nasty things you said
You fight about money
about me and my brother
And this I come home to
This is my shelter","Pink",140
"It ain't easy, growin' up in World War 3
Never knowin' what love could be
You'll see, I don't want love to destroy me
Like it has done my family","Pink",141
"Can we work it out?
Can we be a family?
I promise I'll be better
Mommy I'll do anything
Can we work it out?
Can we be a family?
I promise I'll be better
Daddy please don't leave","Pink",142
"Daddy please stop yellin'
I can't stand the sound
Make mama stop cryin'
'Cause I need you around
My mama she loves you
No matter what she says it's true
I know that she hurts you
But remember I love you too!","Pink",143
"I ran away today, ran from the noise
Ran away (ran away)
Don't wanna go back to that place
But don't have no choice, no way","Pink",144
"It ain't easy, growin' up in World War 3
Never knowin' what love could be
But I've seen, I don't want love to destroy me
Like it did my family","Pink",145
"Can we work it out?
Can we be a family?
I promise I'll be better
Mommy I'll do anything
Can we work it out?
Can we be a family?
I promise I'll be better
Daddy please don't leave","Pink",146
"In our family portrait
We look pretty happy
Let's play pretend,
and act like it Comes naturally
I don't wanna have to split the holidays
I don't want two addresses
I don't want a stepbrother anyways
And I don't want my mom to have to change her last name","Pink",147
"In our family portrait
We look pretty happy
We look pretty normal
let's go back to that
In our family portrait
We look pretty happy
Let's play pretend,
act like goes naturally","Pink",148
"In our family portrait
We look pretty happy
We look pretty normal
let's go back to that
In our family portrait
We look pretty happy
Let's play pretend, act like it
Comes naturally
(can we work it out)
(can we be a family)
(promise ill be better)
(mom ill do anything)
(can we work it out)
(can we be a family)
(promise ill be betta)
(dady please dont leave)","Pink",149
"In our family portrait
We look pretty happy
We look pretty normal
let's go back to that
In our family portrait
We look pretty happy
We look pretty normal
let's go back to that","Pink",150
"Daddy don't leave... daddy don't leave
Daddy don't leave
turn around please
remember that the night you left you
took my shining star?
daddy dont......daddy dont leave
daddy dont leave
dont leave us here alone","Pink",151
"Mom l'll be nicer
I'll be so much better
I'll tell my brother
I won't spill the milk at dinner
I'll be so much better
I'll do everything right
I'll be your little girl forever
I'll go to sleep at night","Pink",152
"Uh? uh? some deep shit? uh? uh","Pink",153
"Momma please stop cryin? I can't stand the sound
Your pain is painful and its tearin? me down
I hear glasses breakin as I sit up in my bed
I told dad you didn't mean those nasty things you
said
You fight about money? bout me and my brother
And this I come home to? this is my shelter
It ain't easy growin up in World War III
Never knowin what love could be? you'll see
I don't want love to destroy me like it has done
my family","Pink",154
